key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
up,0,-2,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-5,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,-2,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-2,,,,,1
up,1,0,,1,,,
down,1,-2,,,,,1
up,0,1,,,,1,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,3,,,,,1
up,0,3,,,,1,
up,0,-2,,,,1,
up,1,0,,1,,,
up,1,0,,1,,,
down,1,-5,,,,,1
up,1,0,,1,,,
up,1,0,,1,,,
down,0,0,,,1,,
up,1,0,,1,,,
down,1,-2,,,,,1
up,1,0,,1,,,
,,,,,,,
,,,,16,3,4,7
,,,,,,,
,hit,16,,,,,
,miss,3,,prop of hit,0.842105263,,
,fa,4,,prop of fa,0.363636364,,
,cr,7,,,,,
,,,,dprime,1.351903663,,
,,,,c,0.82877012,,
